song_title,anime_title,image,singer,year
Dolce,Gekijouban Kara no Kyoukai: Mirai Fukuin - The Garden of Sinners Recalled Out Summer - Extra Chorus,https://cdn.animesongs.org/images/anime/thumbnail/10566.jpg?v=1598788785,Kajiura Yuki/Kalafina,2013
Hayakuchi Curry,Uchuu Kyoudai: Number Zero,https://cdn.animesongs.org/images/anime/thumbnail/10320.jpg?v=1598788785,Okuda Tamio/Unicorn,2014
Garasu no Hitomi,Kuroshitsuji: Book of the Atlantic,https://cdn.animesongs.org/images/anime/thumbnail/11696.jpg?v=1598788787,Yuuya/Mao/Sid,2017
Uni-verse,Gridman Universe,https://cdn.animesongs.org/images/anime/thumbnail/17037.jpg?v=1679749381,Ooishi Masayoshi,2023
Gekkouyoku,Ooyuki Umi no Kaina: Hoshi no Kenja,https://cdn.animesongs.org/images/anime/thumbnail/17811.jpg?v=1695410564,N-buna/Yorushika,2023
Yume wa Kokoro no Tsubasa,Eiga Kaiketsu Zorori: Double Z no Himitsu,https://cdn.animesongs.org/images/anime/thumbnail/12953.jpg?v=1598788789,Tanaka Kouhei/Hara Yutaka/Yamadera Kouichi/Momota Kanako,2017
Chirin no Suzu,Chirin no Suzu,https://cdn.animesongs.org/images/anime/thumbnail/3551.jpg?v=1598788798,Izumi Taku/Yanase Takashi/The Brothers Four,1978
BBMonster,KJ File (2023),https://cdn.animesongs.org/images/anime/thumbnail/17787.jpg?v=1679749187,Isamu/Azuma/Kazuki Yamamori,2023
Himawari Mark o Sagase!,The Idolmaster: Cinderella Girls - U149,https://cdn.animesongs.org/images/anime/thumbnail/17301.jpg?v=1679749471,Watanabe Cheru/Takase Aiko/Haruse Natsumi,2023
G,Gekijouban Gundam G no Reconguista,https://cdn.animesongs.org/images/anime/thumbnail/13108.jpg?v=1598788790,Nakamura Masato/Yoshida Miwa/Dreams Come True,2020
Right,Ankoku Kazoku Warabi-san,https://cdn.animesongs.org/images/anime/thumbnail/16413.jpg?v=1625410345,Mr. Warabi,2021
Fantasista,Captain Tsubasa Season 2: Junior Youth Hen,https://cdn.animesongs.org/images/anime/thumbnail/17930.jpg?v=1695410677,Kurihara Satoru/Kubota Shingo/Imai Ryousuke/Johnny's West,2023
Ningen x Shikkaku,Gekijouban Collar x Malice: Deep Cover,https://cdn.animesongs.org/images/anime/thumbnail/14938.jpg?v=1687705436,Lime/Kizu,2023
Nemuranai Machi,Gekijouban Collar x Malice: Deep Cover,https://cdn.animesongs.org/images/anime/thumbnail/14938.jpg?v=1687705436,Lime/Kizu,2023
Piano no Neiro,Eiga Youkai Watch: Soratobu Kujira to Double Sekai no Daibouken Da Nyan!,https://cdn.animesongs.org/images/anime/thumbnail/11816.jpg?v=1598788787,Kikuya Tomoki/Takagi Takashi/Maiko,2016
Mi-ra-i Miracle Circle,Uchuu Nanchara Kotetsu-kun,https://cdn.animesongs.org/images/anime/thumbnail/15726.jpg?v=1617056555,Q-MHz/Kobayashi Aika,2021
Every Day Every Night,Paradox Live the Animation,https://cdn.animesongs.org/images/anime/thumbnail/17430.jpg?v=1695409946,Fujimoto Kazunori/Shinpeita/Buraikan,2023
Bokura ga Tabi ni Deru Riyuu,Gamba: Gamba to Nakama-tachi,https://cdn.animesongs.org/images/anime/thumbnail/11225.jpg?v=1598788786,Ozawa Kenji/Baishou Chieko,2015
Encore,Gekijouban Uta no Prince-sama: Maji Love Kingdom,https://cdn.animesongs.org/images/anime/thumbnail/12688.jpg?v=1598788789,Agematsu Noriyasu/Miyano Mamoru,2019
Watashi no Aoi Sora: As I Am,Shy,https://cdn.animesongs.org/images/anime/thumbnail/17658.jpg?v=1695410444,Fujii Kentarou/Yuiko/Shimoji Shino,2023
Juuhachi,Gekijouban Collar x Malice: Deep Cover,https://cdn.animesongs.org/images/anime/thumbnail/14938.jpg?v=1687705436,Lime/Kizu,2023
Gemstone,The Idolmaster: Cinderella Girls - U149,https://cdn.animesongs.org/images/anime/thumbnail/17301.jpg?v=1679749471,Deguchi Ryou/Tamegai Hana,2023
Ace,The Idolmaster: Cinderella Girls - U149,https://cdn.animesongs.org/images/anime/thumbnail/17301.jpg?v=1679749471,Mutsuki Shuuhei/Mizuno Genki/Koichi Makoto,2023
Tenshi no Hane de,Game Tengoku,https://cdn.animesongs.org/images/anime/thumbnail/8773.jpg?v=1598788812,Ubukata Noritaka/Yumiko Ishijima/Kanai Mika,1997
Eye Openers,Ninja Kamui,https://cdn.animesongs.org/images/anime/thumbnail/18132.jpg?v=1708119497,RON/Kanesaka Yuki/Jessica Gelinas,2024
Vengeance,Ninja Kamui,https://cdn.animesongs.org/images/anime/thumbnail/18132.jpg?v=1708119497,Masato/Y.K.C/Coldrain,2024
Blessing: Realize,Seijo no Maryoku wa Bannou Desu (2023),https://cdn.animesongs.org/images/anime/thumbnail/17246.jpg?v=1695409884,Yuuki Aira/Yano Tatsuya,2023
Kokkishin,Tousouchuu: Great Mission,https://cdn.animesongs.org/images/anime/thumbnail/17803.jpg?v=1684073527,Tsukasa Inao/Mr.Forte,2023
Baddest Behavior,Tousouchuu: Great Mission,https://cdn.animesongs.org/images/anime/thumbnail/17803.jpg?v=1684073527,Phil Schwan/SOFTSERVEBOY/SQVARE/Fujibayashi Shouko/Tempest,2023
Marine Side Dream,Rail Romanesque 2,https://cdn.animesongs.org/images/anime/thumbnail/15921.jpg?v=1702820635,Nishizaka Kyouhei/Harayuka./Hondo Kaede,2023
Growlin' World,Rail Romanesque 2,https://cdn.animesongs.org/images/anime/thumbnail/15921.jpg?v=1702820635,Orikura Toshinori/Joru/Yamane Aya,2023
Nattitude,Rail Romanesque 2,https://cdn.animesongs.org/images/anime/thumbnail/15921.jpg?v=1702820635,Orikura Toshinori/Joru/Shimabukuro Miyuri,2023
6tekiQ.E.D,Rail Romanesque 2,https://cdn.animesongs.org/images/anime/thumbnail/15921.jpg?v=1702820635,Orikura Toshinori/Joru/Kusunoki Tomori,2023
Mirai Iki Ressha,Rail Romanesque 2,https://cdn.animesongs.org/images/anime/thumbnail/15921.jpg?v=1702820635,Arai Kenji/Inasaki Ema,2023
Omezame Meemee,The Idolmaster: Cinderella Girls - U149,https://cdn.animesongs.org/images/anime/thumbnail/17301.jpg?v=1679749471,Miyazaki Mayu/Yashiro Yuuta/Hanatani Maki,2023
Be My Story,Bakugan: Battle Planet,https://cdn.animesongs.org/images/anime/thumbnail/14709.jpg?v=1598788793,Takahito Nakamura/HiHi Jets,2019
Sayonara no Houteishiki,Bakugan: Battle Planet,https://cdn.animesongs.org/images/anime/thumbnail/14709.jpg?v=1598788793,Keisuke Koyama/DAICHI/miyakei/HiHi Jets,2020
Glory Days,Elite Jack!!,https://cdn.animesongs.org/images/anime/thumbnail/10722.jpg?v=1598788786,Ijichi Hiromasa/Yuzuki Miyu/Palet,2014
Dress Heart Rouge,Spy Kyoushitsu (2023),https://cdn.animesongs.org/images/anime/thumbnail/17979.jpg?v=1687697682,Honda Yuki/Masaki Erica/Uesaka Sumire,2023
Pureness x Careless,Spy Kyoushitsu (2023),https://cdn.animesongs.org/images/anime/thumbnail/17979.jpg?v=1687697682,Kijibato/Kusunoki Tomori,2023
Hana no Hi,Spy Kyoushitsu (2023),https://cdn.animesongs.org/images/anime/thumbnail/17979.jpg?v=1687697682,Honda Yuki/Masaki Erica/Amamiya Sora,2023
Ano Hi no Yume (BD release),Ryuuou no Oshigoto!,https://cdn.animesongs.org/images/anime/thumbnail/13281.jpg?v=1598788790,Kaneko Mayumi/Kayano Ai,2018
The Loneliest,Onimusha,https://cdn.animesongs.org/images/anime/thumbnail/17642.jpg?v=1695410440,Måneskin,2023
Kimi Dake ga Hero,Shy,https://cdn.animesongs.org/images/anime/thumbnail/17658.jpg?v=1695410444,ArmySlick/Jorakuji Mio/Touyama Nao,2023
Mikansei,Nanatsu no Taizai: Mokushiroku no Yonkishi,https://cdn.animesongs.org/images/anime/thumbnail/17355.jpg?v=1695409939,Maeshima Soshi/Carlos Okabe/zakinosuke.,2024
Pas @ Pas!,Rail Romanesque 2,https://cdn.animesongs.org/images/anime/thumbnail/15921.jpg?v=1702820635,Nishizaka Kyouhei/Joru/Ayumi.,2023
Akogare Stitch,The Idolmaster: Cinderella Girls - U149,https://cdn.animesongs.org/images/anime/thumbnail/17301.jpg?v=1679749471,Ono Takamitsu/Isogai Yoshie/Imai Asaka,2021
Ryuu-goroshi no Eiyuu no Uta,Saihate no Paladin: Tetsusabi no Yama no Ou,https://cdn.animesongs.org/images/anime/thumbnail/17078.jpg?v=1695409860,Hoashi Keigo/Yanagino Kanata/Suzuki Eri,2023
Dokuro Ninja Konoha,Horimiya: Piece,https://cdn.animesongs.org/images/anime/thumbnail/17946.jpg?v=1687697617,Matsushita Hideki/Hero/Kondou Reina/Fukuyama Jun,2023
Go!!!,Eiga Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu,https://cdn.animesongs.org/images/anime/thumbnail/13606.jpg?v=1598788790,K/June/Miz Fukuda/Ebissh,2018
Eternity Blue,Fate/Grand Order: Shuukyoku Tokuiten - Kan'i Jikan Shinden Solomon,https://cdn.animesongs.org/images/anime/thumbnail/15461.jpg?v=1625412008,Sachi/Ayumi,2021
Magical Superstar,Mazica Party,https://cdn.animesongs.org/images/anime/thumbnail/16084.jpg?v=1614947628,AI-KID/The Lethal Weapons,2021
Ai o Kesanaide,Sea Cat,https://cdn.animesongs.org/images/anime/thumbnail/18136.jpg?v=1710595430,Tarako/Shimon Masato,1988
Endless Call,Sea Cat,https://cdn.animesongs.org/images/anime/thumbnail/18136.jpg?v=1710595430,Tarako,1988
Tokimeki no Kaze ni Notte,Rakudai Majo: Fuuka to Yami no Majo,https://cdn.animesongs.org/images/anime/thumbnail/16876.jpg?v=1679749346,Nagatsuka Kento/Inoue Honoka,2023
Snow Ephemeral,Rail Romanesque 2,https://cdn.animesongs.org/images/anime/thumbnail/15921.jpg?v=1702820635,Orikura Toshinori/Harayuka./Tanaka Rie,2023
Your Key,Nanatsu no Taizai: Mokushiroku no Yonkishi,https://cdn.animesongs.org/images/anime/thumbnail/17355.jpg?v=1695409939,Kentz/Yohei/D&H/JO1,2024
Never Say Goodbye,Girls und Panzer Saishuushou,https://cdn.animesongs.org/images/anime/thumbnail/12361.jpg?v=1598788788,ChouCho,2023
Rocket Star,The Idolmaster Million Live!,https://cdn.animesongs.org/images/anime/thumbnail/15625.jpg?v=1695409689,Honda Yuki/Masaki Erica/Machico,2023
Fleeting Wish,Arknights: Perish in Frost,https://cdn.animesongs.org/images/anime/thumbnail/17781.jpg?v=1695410525,Hayashi Yuuki/Fujisawa Jin/Takagaki Ayahi,2023
Dreaming Channel,Kiratto Pri Chan,https://cdn.animesongs.org/images/anime/thumbnail/13752.jpg?v=1598788791,"Honda Yuki/Matsui Youhei/Run Girls, Run!",2021
Kirifuda,Cardfight!! Vanguard: DivineZ,https://cdn.animesongs.org/images/anime/thumbnail/18248.jpg?v=1702819720,Ren/V.W.P,2024
Danger Danger,"Shangri-La Frontier: Kusogee Hunter, Kamige ni Idoman to Su",https://cdn.animesongs.org/images/anime/thumbnail/17501.jpg?v=1695409956,Jack/Maquma/icy/FZMZ,2023
Inori,Bikkurimen,https://cdn.animesongs.org/images/anime/thumbnail/17966.jpg?v=1695410699,Sekimukai Yayoi/Enu/Hikasa Youko,2023
Gajumaru: Heaven in the Rain,"Shangri-La Frontier: Kusogee Hunter, Kamige ni Idoman to Su",https://cdn.animesongs.org/images/anime/thumbnail/17501.jpg?v=1695409956,Kegani/Hayashi Kei/Reona,2023
All for one Forever,Eiga Precure All Stars F,https://cdn.animesongs.org/images/anime/thumbnail/17890.jpg?v=1708380805,Mori Izumi/Kodama Saori/Machico/Komagata Yuri...,2023
Ureshikute,Eiga Precure All Stars F,https://cdn.animesongs.org/images/anime/thumbnail/17890.jpg?v=1708380805,Mizuno Yoshiki/Ikimonogakari,2023
"For ""F""",Eiga Precure All Stars F,https://cdn.animesongs.org/images/anime/thumbnail/17890.jpg?v=1708380805,Mori Izumi/Aoki Kumiko/Machico/Ishii Ami,2023
